,ID_CLEAN,DESCRIPTION,Comments,ISSUED_DATE,EXPIRATION_DATE,Property_ID
78110,1604767000.0,Solar Panels,Install solar electric panels on roof of existing house with any upgrades  when applicable  specified by PE in planset.  To be interconnected with home electrical system.  3.9kW @ 15 panels  JB-0213486-00,6/24/15 12:04,12/24/15 0:00,24206.0
78113,2010431000.0,Solar Panels,Install solar electric panels on roof of existing house with any upgrades  when applicable  specified by PE in planset.  To be interconnected with home electrical system.  4.94kW @ 19 panels  JB-0213461-00,6/10/15 12:38,12/10/15 0:00,84304.0
78121,304954000.0,Electrical,83 Harrison Ave.-Dong Khanh Rest.Replace lighting with energy efficient fixtures.,11/1/10 12:16,5/1/11 0:00,70064.0
78126,304951000.0,Electrical,Replace lighting with energy efficient fixtures at Nam Bac Hong.,11/1/10 11:37,5/1/11 0:00,70054.0
78129,305264000.0,Electrical,Replace lighting with energy efficient fixtures at Huiyng  Inc.,11/1/10 11:37,5/1/11 0:00,69990.0
78132,,Electrical,62 Harrison Ave. - The Coffe HouseReplace lighting with energy efficient fixtures.,11/1/10 12:15,5/1/11 0:00,340724.0
78133,305360000.0,Electrical,186 South St.-Consumer LimitedReplace lighting with energy efficient fixtures.,11/1/10 12:14,5/1/11 0:00,128541.0
78134,305306000.0,Electrical,Replace lighting with energy efficient fixtures at Chinese Merchant Assoc.,11/1/10 12:13,5/1/11 0:00,75859.0
78135,305136000.0,Electrical,Replace lighting with energy efficient fixtures at Xiao Ling Yu.,11/1/10 11:55,5/1/11 0:00,138827.0
78138,,Electrical,Replace lighting with energy efficient fixtures at Kim Hoan.,11/1/10 11:54,5/1/11 0:00,0.0
78165,1802020000.0,Solar Panels,Installation of a 6.750 kw (25 panels) rooftop solar array,5/22/15 13:26,11/22/15 0:00,69549.0
78199,400074000.0,Electrical,"wire and install ten 6"" new work IC rated recessed can lights. wire and relocate 8 existing light switches. relocate 6 kitchen counter receptacles on existing two kitchen small appliances  20 amps branch circuits. Remove electric baseboard heat in living room and bedroom. wire condenser for heating and AC. wire dish washer to existing 15 amps branch circuit. wire and install three pendants light fixture above kitchen sink.Add one photoelectric smoke detector in bedroom and rewire and install  existing 120 volts local co/smoke detector in hallway. clean up old wires not been used from ceiling.",5/19/15 9:46,11/19/15 0:00,3836.0
78210,1600721000.0,Solar Panels,installation of rooftop mounted solar array with 18 panels,5/27/15 9:37,11/27/15 0:00,108071.0
78222,1804289000.0,Solar Panels,Installation of roof mounted photovoltaic solar system. 7.54 kw  29 panels,5/20/15 12:58,11/20/15 0:00,151288.0
78223,1803522000.0,Solar Panels,Installation of roof mounted photovoltaic solar system. 5.2 kw  20 panels,5/20/15 12:58,11/20/15 0:00,81134.0
78224,1807632002.0,Solar Panels,Installation of roof mounted photovoltaic solar system. 9.36 kw  36 panels,5/20/15 12:58,11/20/15 0:00,86880.0
78228,1804312000.0,Electrical,Installation of roof mounted photovoltaic solar system. 3.9 kw 15 panels,5/20/15 12:58,11/20/15 0:00,15880.0
78235,1803750000.0,Solar Panels,Installation of roof mounted photovoltaic solar system. 4.42 kw 17 panels,5/20/15 12:58,11/20/15 0:00,114600.0
78239,2010435020.0,Solar Panels,Installation of roof mounted photovoltaic solar system. 7.02 kw 27 panels,5/20/15 12:59,11/20/15 0:00,84291.0
78240,1802676000.0,Solar Panels,Installation of roof mounted photovoltaic solar system. 5.72 kw 22 panels,5/20/15 12:59,11/20/15 0:00,123060.0
78260,502001000.0,Electrical,Replace lighting with energy efficient fixtures at Rodi Kouthouridis dba Crown Cleaners  617-367-8773.,6/10/15 16:49,12/10/15 0:00,29093.0
78261,2203371000.0,Electrical,Replace lighting with energy efficient fixtures at Alpha Gamma LLC dba Pizza  Etc.  617-254-2022.,6/10/15 16:49,12/10/15 0:00,342556.0
78262,304721128.0,Electrical,Replace lighting with energy efficient fixtures at 333 Washington St. Condo #634  617-720-0752.,6/10/15 16:48,12/10/15 0:00,144798.0
78263,304721000.0,Electrical,Replace lighting with energy efficient fixtures at 333 Washington St. Condo #634  617-720-0752.,6/10/15 16:48,12/10/15 0:00,144798.0
78264,502326000.0,Electrical,Replace lighting with energy efficient fixtures at Charles St. Supply Co.  617-367-9046.,6/10/15 16:49,12/10/15 0:00,29166.0
78265,1809110000.0,Electrical,Replace lighting with energy efficient fixtures at Samia Maalouf dba Boston Health Zone  Rear  617-361-9040.,6/10/15 16:48,12/10/15 0:00,116352.0
78266,304721128.0,Electrical,Replace lighting with energy efficient fixtures at Diamond Barr jewelers dba L & S Jewelry  617-723-8510.,6/10/15 16:48,12/10/15 0:00,144798.0
78267,304721000.0,Electrical,Replace lighting with energy efficient fixtures at Diamond Barr jewelers dba L & S Jewelry  617-723-8510.,6/10/15 16:48,12/10/15 0:00,144798.0
78374,400985010.0,Electrical,Replace lighting with energy efficient fixtures at Residences at Copley Place Masters  617-236-5970.,6/10/15 16:49,12/10/15 0:00,69395.0
78381,302782000.0,Electrical,wire one environmental room,5/28/15 15:59,11/28/15 0:00,128378.0
78412,1807203000.0,Solar Panels,Installation of roof mounted photovoltaic solar system.  5.72 kw  22 panels,5/27/15 15:17,11/27/15 0:00,151252.0
78414,1703803000.0,Solar Panels,Installation of roof mounted photovoltaic solar system. 4.68 kw  18 panels,6/3/15 13:55,12/3/15 0:00,131682.0
78415,1402424000.0,Solar Panels,Installation of roof mounted photovoltaic solar system. 4.68 kw  18 panels,5/27/15 15:17,11/27/15 0:00,125899.0
78416,1804148000.0,Solar Panels,Installation of roof mounted photovoltaic solar system. 3.9 kw  15 panels,5/27/15 15:17,11/27/15 0:00,151271.0
78417,1801365000.0,Solar Panels,Installation of roof mounted photovoltaic solar system. 6.25 kw  25 panels,5/27/15 15:17,11/27/15 0:00,106037.0
78419,1811552070.0,Solar Panels,Installation of roof mounted photovoltaic solar system. 4.42 kw  17 panels,6/3/15 13:55,12/3/15 0:00,352822.0
78470,1803271000.0,Electrical,Replace existing 100a meter/main with new 100a meter/main with space to tie in solar system.,5/27/15 12:39,11/27/15 0:00,141039.0
78651,1810673000.0,Solar Panels,Installation of roof mounted photovoltaic solar system.  3.64kw  14 panels,6/3/15 13:55,12/3/15 0:00,60721.0
78652,1703875000.0,Solar Panels,Installation of roof mounted photovoltaic solar system.  5.72kw  22 panels,6/3/15 13:55,12/3/15 0:00,26865.0
78653,1800502000.0,Solar Panels,Installation of roof mounted photovoltaic solar system.  2.34kw  9 panels,6/3/15 13:55,12/3/15 0:00,106162.0
78706,303028300.0,Electrical,Replace lighting with energy efficient fixtures at Beacon Hill Athletic Club  617-720-2422.,6/10/15 16:49,12/10/15 0:00,6357.0
78809,1300980000.0,Solar Panels,Installation of roof mounted photovoltaic solar system.  14 panels 3.64kw,6/8/15 13:06,12/8/15 0:00,70229.0
78815,1805831000.0,Solar Panels,Installation of roof mounted photovoltaic solar system.  35 panels 9.1kw,6/8/15 13:07,12/8/15 0:00,8659.0
78820,1702811000.0,Solar Panels,Installation of roof mounted photovoltaic solar system. 2.86kw  11 panels,6/8/15 13:07,12/8/15 0:00,95766.0
78821,1100403000.0,Solar Panels,Installation of roof mounted photovoltaic solar system. 4.42kw  17 panels,6/8/15 13:07,12/8/15 0:00,139669.0
78823,1802659000.0,Solar Panels,Installation of roof mounted photovoltaic solar system. 5.2kw  20 panels,6/8/15 13:11,12/8/15 0:00,79129.0
78970,201852000.0,Solar Panels,Complete existing solar installation started by others.,6/10/15 10:18,12/10/15 0:00,49172.0
78982,,Solar Panels,Installation of a 5.98 kw (23 panels) rooftop solar array,6/15/15 10:59,12/15/15 0:00,49239.0
78983,2008077000.0,Solar Panels,Installation of a 4.42 kw (17 panels) rooftop solar array,6/15/15 10:53,12/15/15 0:00,47366.0
78988,1000306000.0,Electrical,Replace lighting with energy efficient fixtures at Nana GoGo dba Nana's Hair Braiding  910-797-2956.,6/30/15 11:31,12/30/15 0:00,76482.0
78989,1102832000.0,Electrical,Replace lighting with energy efficient fixtures at Doyles Caf_  617-524-2345.,6/30/15 11:31,12/30/15 0:00,144934.0
78990,504199000.0,Electrical,Replace lighting with energy efficient fixtures at 71 Lansdowne St.  City Fitness dba Leap Fitness  617-536-6066.,6/30/15 11:31,12/30/15 0:00,156998.0
78992,1805051000.0,Electrical,Replace lighting with energy efficient fixtures at 4407 Washington St.  Roslindale Hardware Co.  617-323-8639.,6/30/15 11:31,12/30/15 0:00,145226.0
79021,1703433000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  29 panles 7.54Kw,6/15/15 14:07,12/15/15 0:00,62258.0
79022,1811928000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  11 panles 2.86Kw,12/10/15 11:18,6/10/16 0:00,135750.0
79023,1811472000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  18 panels 4.68Kw,6/15/15 14:07,12/15/15 0:00,32133.0
79024,1810579000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  15 panels 3.9Kw,6/15/15 14:07,12/15/15 0:00,58775.0
79025,1803095000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  20 panels 5.2Kw,6/15/15 14:07,12/15/15 0:00,79118.0
79027,1803334000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  3.5kw 14 panels,6/15/15 14:48,12/15/15 0:00,154225.0
79028,1402711000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  2.86kw 11 panels,6/15/15 14:11,12/15/15 0:00,15305.0
79030,501376000.0,Electrical,Electrical improvements/upgrades to the school. Install panelboards  feeders  breakers  lighting fixtures  lighting controls  switches  occupancy sensors  power outlets  Exit signs  EBU's  power to mechanical  HVAC  exhaust equipment  as well as conduits and pull strings for A/V  speakers  tele/data  etc. throughout the 2nd  3rd and 4th floors  per drawings/plans/specs. Low Voltage  A/V and tele/data by others.,6/22/15 13:22,12/22/15 0:00,55335.0
79032,1803172000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  5.46kw 21panels,6/15/15 14:11,12/15/15 0:00,141717.0
79033,1803370750.0,Solar Panels,Installation of roof mounted photovoltaic solar system  6.76kw 26panels,6/15/15 14:13,12/15/15 0:00,130839.0
79034,1803370745.0,Solar Panels,Installation of roof mounted photovoltaic solar system  6.76kw 26panels,6/15/15 14:13,12/15/15 0:00,130839.0
79036,1807634006.0,Solar Panels,Installation of roof mounted photovoltaic solar system  5.2kw 20 panels,6/15/15 14:13,12/15/15 0:00,86881.0
79040,1806418000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  3.12kw 12panels,6/15/15 14:11,12/15/15 0:00,130321.0
79047,1800737000.0,Electrical,Install electric service for new addition.  Install power  lighting and fir alarm systems.  Install lighting control.  Wire burg. alarm into existing system.  Install generator and transfer switch for existing office service.,6/16/15 13:23,12/16/15 0:00,97817.0
79052,1803010000.0,Solar Panels,Installation of a3.060 kw (12 panels) rooftop solar array,6/15/15 10:51,12/15/15 0:00,134414.0
79092,1302250000.0,Solar Panels,Installation of a 4.2 kw (15 panels) rooftop solar array,6/15/15 10:56,12/15/15 0:00,123210.0
79136,306540000.0,Solar Panels,Mount and install a 64.26 kW rooftop photovoltaic solar arrayAddress also known as 381 Albany Street.,6/18/15 12:57,12/18/15 0:00,69841.0
79171,2102798001.0,Electrical,Replace lighting with energy efficient fixtures at Cathedral High School  617-542-2325.,6/30/15 11:31,12/30/15 0:00,139276.0
79186,2203448000.0,Solar Panels,Install & wire (16) solar PV panels including disconnect  meter  and inverter.,6/19/15 12:13,12/19/15 0:00,13776.0
79187,800780010.0,Electrical,Replace lighting with energy efficient fixtures at Shangshi Ravioli Corp.  617-989-3833.,6/30/15 11:31,12/30/15 0:00,75580.0
79188,,Electrical,Replace lighting with energy efficient fixtures at Santisi & Bove #418  617-523-1131.,6/30/15 11:31,12/30/15 0:00,340076.0
79189,1102029000.0,Electrical,Replace lighting with energy efficient fixtures at Lisandros Beauty Salon  617-697-4753.,6/30/15 11:31,12/30/15 0:00,144657.0
79193,304721400.0,Electrical,Replace lighting with energy efficient fixtures at Serge Fine Jewelry  617-742-6118.,6/30/15 11:31,12/30/15 0:00,340075.0
79194,,Electrical,Replace lighting with energy efficient fixtures at The Bagman Inc.  617-254-4513.,6/30/15 11:31,12/30/15 0:00,165193.0
79198,1600222000.0,Solar Panels,Install new 50 KW solar panels and inverter for new roof top system,6/19/15 15:00,12/19/15 0:00,149923.0
79207,100955000.0,Electrical,Replace lighting with energy efficient fixtures at The Salesian Society  617-567-6626.,6/30/15 11:31,12/30/15 0:00,24584.0
79237,1800984000.0,Solar Panels,Installation of roof mounted photovoltaic solar system.  2.08kw  8 panels,6/18/15 13:05,12/18/15 0:00,7424.0
79240,,Solar Panels,Installation of roof mounted photovoltaic solar system.  7.28kw  28 panels,6/18/15 13:06,12/18/15 0:00,172588.0
79304,501376000.0,Electrical,Electrical improvements/upgrades to the school. Install panelboards  feeders  breakers  lighting fixtures  lighting controls  switches  occupancy sensors  power outlets  Exit signs  EBU's  power to mechanical  HVAC  exhaust equipment  as well as conduits and pull strings for A/V  speakers  tele/data  etc. throughout the 5th floor  per drawings/plans/specs. Low Voltage  A/V and tele/data by others.,6/22/15 13:18,12/22/15 0:00,55335.0
79311,1904115000.0,Solar Panels,Installation of a 3.0 kw (12 panels) rooftop solar array,6/23/15 8:20,12/23/15 0:00,72426.0
79418,1806510000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  6.5kw  25 panels,6/24/15 14:13,12/24/15 0:00,25505.0
79419,1800118000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  5.2kw  20 panels,6/24/15 14:13,12/24/15 0:00,140657.0
79420,1804196000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  5.2kw  20 panels,6/24/15 14:14,12/24/15 0:00,110941.0
79421,1804606000.0,Solar Panels,Installation of roof mounted photovoltaic solar system 4.42kw  17 panels,6/24/15 14:14,12/24/15 0:00,82175.0
79423,1804649000.0,Solar Panels,Installation of roof mounted photovoltaic solar system 4.68kw  16 panels,6/24/15 14:14,12/24/15 0:00,74304.0
79424,1806055000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  3.38kw 13 panels,6/24/15 14:09,12/24/15 0:00,65764.0
79426,2004237004.0,Solar Panels,Installation of roof mounted photovoltaic solar system  5.46kw 21 panels,6/24/15 14:09,12/24/15 0:00,32783.0
79428,1807027000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  3.9kw 15 panels,6/24/15 14:09,12/24/15 0:00,118222.0
79433,2002438000.0,Solar Panels,Installation of roof mounted photovoltaic solar system 3.64kw  14 panels,6/24/15 14:09,12/24/15 0:00,105679.0
79509,602674010.0,Electrical,Replace all lamps and ballasts with energy efficient lamps and ballasts.,7/9/15 13:16,1/9/16 0:00,355368.0
79511,1807484000.0,Solar Panels,Installation of roof mounted photovoltaic solar system   7.02kw  27 panels,6/26/15 14:53,12/26/15 0:00,60750.0
79512,1804053000.0,Solar Panels,Installation of roof mounted photovoltaic solar system   7.02kw  27 panels,6/26/15 14:53,12/26/15 0:00,90145.0
79513,1802690000.0,Solar Panels,Installation of roof mounted photovoltaic solar system   2.34kw  9 panels,6/26/15 14:53,12/26/15 0:00,79140.0
79514,1806983000.0,Solar Panels,Installation of roof mounted photovoltaic solar system   5.2kw  20 panels,6/26/15 14:53,12/26/15 0:00,60739.0
79516,1811365000.0,Solar Panels,Installation of roof mounted photovoltaic solar system   2.86kw  11 panels,6/26/15 14:53,12/26/15 0:00,99619.0
79519,1811159000.0,Solar Panels,installation of roof mounted photovoltaic solar system  6.5kw  25 panels,7/1/15 14:47,1/1/16 0:00,6768.0
79521,1811691000.0,Solar Panels,installation of roof mounted photovoltaic solar system  5.46kw  21 panels,6/26/15 14:53,12/26/15 0:00,13016.0
79522,1800560017.0,Solar Panels,Installation of roof mounted photovoltaic solar system  2.08kw 8 panels,6/26/15 14:53,12/26/15 0:00,125005.0
79578,1100315010.0,Solar Panels,Installation of a 4.0 kw (16 panels) rooftop solar array,6/30/15 13:29,12/30/15 0:00,53397.0
79580,1904474003.0,Solar Panels,Installation of a 2.0 kw (8 panels) rooftop solar array,6/30/15 13:29,12/30/15 0:00,129131.0
79581,2010406001.0,Solar Panels,Installation of a 4.680 kw (18 panels) rooftop solar array,6/30/15 13:29,12/30/15 0:00,84297.0
79593,2000396000.0,Solar Panels,Install a Rooftop mounted Solar array upon a rail system lagged to roof rafters consisting of 16 solar panels. as well as sister rafter on said roof are and collar ties every other rafter.,7/8/15 13:27,1/8/16 0:00,50227.0
79610,1502740000.0,Solar Panels,Installation of roof mounted photovoltaic solar system. 4.94kw 19 panels,7/1/15 14:47,1/1/16 0:00,68956.0
79619,1810053000.0,Solar Panels,Installation of a 4.05 kw (15 panels) rooftop solar array,6/30/15 13:29,12/30/15 0:00,143832.0
79621,304721026.0,Electrical,Replace lighting with energy efficient fixtures at Paul Duggan  Ste 435  617-742-0221.,7/10/15 11:46,1/10/16 0:00,144754.0
79622,304721000.0,Electrical,Replace lighting with energy efficient fixtures at Paul Duggan  Ste 435  617-742-0221.,7/10/15 11:46,1/10/16 0:00,144754.0
79623,601984000.0,Electrical,Replace lighting with energy efficient fixtures at Perkins Sq. Deli  617-269-5622.,7/10/15 11:46,1/10/16 0:00,48839.0
79624,,Electrical,Replace lighting with energy efficient fixtures at Golden House  617-323-8239.,7/10/15 11:46,1/10/16 0:00,171238.0
79625,1903125000.0,Electrical,Replace lighting with energy efficient fixtures at Morenos Collision Center  617-333-0319.,7/10/15 11:46,1/10/16 0:00,145138.0
79626,2000537000.0,Electrical,Replace lighting with energy efficient fixtures at Pleasant Caf_  617-323-2111.,7/10/15 11:46,1/10/16 0:00,145298.0
79627,304505000.0,Electrical,Replace lighting with energy efficient fixtures at Elder Hostel  Inc.  617-457-5474  common areas.,7/10/15 11:46,1/10/16 0:00,30098.0
79628,603042000.0,Electrical,Replace lighting with energy efficient fixtures at NE Window Systems  617-269-6397 x12.,7/10/15 11:46,1/10/16 0:00,343469.0
79743,1803275000.0,Solar Panels,Installation of a 4.42 kw (17 panels) rooftop solar array,7/10/15 10:04,1/10/16 0:00,141032.0
79748,1805458000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  5.46kw 21 panels,7/8/15 11:57,1/8/16 0:00,111885.0
79749,1804147000.0,Electrical,Installation of roof mounted photovoltaic solar system  3.38kw 13 panels,7/8/15 11:57,1/8/16 0:00,46082.0
79751,1812599000.0,Solar Panels,Installation of roof mounted photovoltaic solar system.  2.08kw 8 panels,7/8/15 11:57,1/8/16 0:00,78006.0
79882,301925000.0,Electrical,Install (9) line voltage thermostats for TD Garden concession S1  S2 & S3.  Also wire lighting controls for Sylvania,7/9/15 8:48,1/9/16 0:00,352668.0
79954,1903095000.0,Electrical,Replace lighting with energy efficient fixtures at Delicious Yogurt dba Yogurt Place  617-742-8330.,7/17/15 14:39,1/17/16 0:00,145152.0
79955,1102065000.0,Electrical,Replace lighting with energy efficient fixtures at Meridian Academy  617-277-1118.,7/17/15 14:39,1/17/16 0:00,91652.0
79956,901424000.0,Electrical,Replace lighting with energy efficient fixtures at The Flaherty Group dba Papa Johns  617-904-7272.,7/17/15 14:39,1/17/16 0:00,138054.0
79957,104169000.0,Electrical,This is an add to permit number E 40938 for the added work of fire alarm and photovoltaic,10/29/10 9:04,4/29/11 0:00,341853.0
79958,503917000.0,Electrical,Replace lighting with energy efficient fixtures at Our Ladys Guildhouse  617-536-3000.,7/17/15 14:39,1/17/16 0:00,29846.0
79959,1809110000.0,Electrical,Replace lighting with energy efficient fixtures at Samia Maalouf dba Boston Health Zone bsmnt  617-361-9040.,7/17/15 14:39,1/17/16 0:00,116352.0
79960,1806530000.0,Electrical,Replace lighting with energy efficient fixtures at Top Liquors  617-327-3166.,7/17/15 14:39,1/17/16 0:00,77369.0
79970,1812050000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  6.5kw 25 panels,7/13/15 11:31,1/13/16 0:00,132640.0
79971,2000490000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  3.38kw 13 panels,7/13/15 11:31,1/13/16 0:00,147575.0
79974,1601581000.0,Solar Panels,Installing 24 solar panels on roof.,7/16/15 13:32,1/16/16 0:00,81808.0
80060,101837000.0,Solar Panels,install rooftop solar array,7/21/15 16:51,1/21/16 0:00,63864.0
80063,800910000.0,Solar Panels,Installation of 100 solar panels - Roof mount. System size of 26.0kW,9/8/15 15:28,3/8/16 0:00,63525.0
80109,1803915000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  3.9kw  15 panels,7/16/15 16:09,1/16/16 0:00,15900.0
80110,1803574001.0,Solar Panels,Installation of roof mounted photovoltaic solar system  4.42kw  17 panels,7/16/15 16:09,1/16/16 0:00,124845.0
80121,1301313000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  3.9kw  15 panels,7/16/15 16:09,1/16/16 0:00,140920.0
80141,803135000.0,Electrical,Install power for greenhouse. Power for lights  heat  general use.,11/1/10 10:32,5/1/11 0:00,21827.0
80253,1804616000.0,Solar Panels,installation of roof mounted photovoltaic solar system 6.24 kW 24 panels,7/21/15 11:15,1/21/16 0:00,34036.0
80328,1811891000.0,Solar Panels,14 panel solar array on roof with disconnect  micro inverters  soladeck and tie into existing service,7/29/15 12:05,1/29/16 0:00,24262.0
80372,1402459000.0,Solar Panels,Installation of roof mounted photovoltaic solar system 7.28kw 28 panels,7/23/15 10:34,1/23/16 0:00,52851.0
80373,1903081000.0,Solar Panels,Installation of roof mounted photovoltaic solar system 5.98kw 23 panels,7/23/15 10:34,1/23/16 0:00,86321.0
80375,1807634007.0,Solar Panels,Installation of roof mounted photovoltaic solar system 8.58kw 33panels,7/23/15 10:34,1/23/16 0:00,86878.0
80408,2102548000.0,Electrical,Suspended ceiling light fixtures - 11 recessed & 3 pendant. Relocate & reuse existing 115v & 208v outlets.,7/27/15 14:14,1/27/16 0:00,31659.0
80412,2102865000.0,Solar Panels,Install solar panels on the roof.,8/4/15 10:56,2/4/16 0:00,31935.0
80449,2203093000.0,Solar Panels,Installation of solar panel array to existing rooftop. 18 panels 240 watt. Estimated cost $1000.00,8/6/15 9:13,2/6/16 0:00,17224.0
80450,1801483000.0,Other,Install roof top solar panel array on existing roof 18 panels 240 watt. Estimated cost $1000.00,8/6/15 9:13,2/6/16 0:00,14217.0
80561,1404740000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  20 panels 5.2 kw,7/30/15 10:23,1/30/16 0:00,70914.0
80576,304160000.0,Electrical,Job#15-223  7th Floor Conference Rms. for Bldg./JLL  Tenant Lease. Rework of lighting controls in Conference Rooms  Outlet Device Replacements,7/28/15 14:51,1/28/16 0:00,158388.0
80612,1808544000.0,Electrical,Installation of roof mounted photovoltaic solar system  2.6kw 10 panels,7/30/15 10:23,1/30/16 0:00,5067.0
80625,1807253000.0,Solar Panels,Installation of roof mounted photovotaic solar system  5.98kw  23 panels,7/30/15 10:23,1/30/16 0:00,111407.0
80642,1904148000.0,Solar Panels,3.64 kw solar system on top of roof,7/30/15 10:32,1/30/16 0:00,111795.0
80725,2101399000.0,Solar Panels,Install roof mounted Photovoltaic (PV) System rated 8.32 kW-DC @ S.T.C. Grid-Tied. 32 panles. jb-0213785 contact jstanton3@solarcity.com,8/13/15 13:37,2/13/16 0:00,50295.0
80727,1703111000.0,Solar Panels,Install roof mounted Photovoltaic (PV) System rated 7.8 kW-DC @ S.T.C. Grid-Tied. 30 panels. jb-0213816. jstanton3@solarcity.com,8/13/15 13:38,2/13/16 0:00,146223.0
80729,1801232000.0,Solar Panels,Install roof mounted Photovoltaic (PV) System rated 2.34 kW-DC @ S.T.C. Grid-Tied. 9 panels. jb-0213893. jstanton3@solarcity.com,8/13/15 13:37,2/13/16 0:00,23861.0
80731,1700871000.0,Solar Panels,Install roof mounted Photovoltaic (PV) System rated 6.24 kW-DC @ S.T.C. Grid-Tied. 24 panels. jb-0213899. jstanton3@solarcity.com,8/13/15 13:37,2/13/16 0:00,92766.0
80732,1601959000.0,Solar Panels,Install roof mounted Photovoltaic (PV) System rated 4.16 kW-DC @ S.T.C. Grid-Tied. 16 panels. jb-0213972. jstanton3@solarcity.com,8/13/15 13:37,2/13/16 0:00,88984.0
80750,1804873000.0,Electrical,Installation of roof mounted photovoltaic solar system  3.38kw 13 panels,8/4/15 10:34,2/4/16 0:00,45701.0
80751,1806985000.0,Special Events,Installation of roof mounted photovoltaic solar system  5.46kw 21 panels,8/4/15 10:34,2/4/16 0:00,60749.0
80752,1902976000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  3.64kw 14 panels,8/4/15 10:34,2/4/16 0:00,145110.0
80753,1903746000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  6.5kw 25 panels,8/4/15 10:34,2/4/16 0:00,80004.0
80754,1808860000.0,Solar Panels,Installation of roof mounted photovoltaic solar system  3.38kw 13 panels,8/4/15 10:34,2/4/16 0:00,147869.0
80759,2203953001.0,Solar Panels,Install roof mounted Photovoltaic (PV) System rated 5.46 kW-DC @ S.T.C. Grid-Tied. 21 panels. JB-0213722  jstanton3@solarcity.com,8/13/15 13:37,2/13/16 0:00,49917.0
80760,1811576000.0,Solar Panels,Install roof mounted Photovoltaic (PV) System rated 3.64 kW-DC @ S.T.C. Grid-Tied. 14 panels. JB-0213883  jstanton3@solarcity.com,8/20/15 11:06,2/20/16 0:00,116368.0
80765,2000362000.0,Solar Panels,Installation of a 3.850 kw (14 panels) rooftop solar array,8/7/15 9:28,2/7/16 0:00,72115.0
80766,1801968000.0,Solar Panels,Installation of a 9.350 kw (34 panels)rooftop solar array,8/7/15 9:28,2/7/16 0:00,115720.0
80786,303516000.0,Electrical,rewire apt to local codes and install new sub panel,8/4/15 10:58,2/4/16 0:00,85340.0
80788,1503106000.0,Electrical,Replace lighting with energy efficient fixtures at The Flaherty Grp  Inc. dba Papa Johns  617-288-0088.,8/19/15 9:17,2/19/16 0:00,48264.0
80789,1903122000.0,Electrical,Replace lighting with energy efficient fixtures at Harl Realty dba Yang Martial Arts Assoc.  617-363-9622.,8/19/15 9:17,2/19/16 0:00,8563.0
80790,1602345000.0,Electrical,Replace lighting with energy efficient fixtures at Fatmira Gjura dba Neponset Tailor/Dry Clean  617-288-0556.,8/19/15 9:17,2/19/16 0:00,100787.0
80792,2000359000.0,Electrical,Replace lighting with energy efficient fixtures at Rosa Castro dba Cesi's Hair Styles  617-323-0421.,8/19/15 9:17,2/19/16 0:00,145191.0
80793,,Electrical,Replace lighting with energy efficient fixtures at Yen NGO dba Asia Nails  617-469-4737.,8/19/15 9:17,2/19/16 0:00,0.0
80794,2000011000.0,Electrical,Replace lighting with energy efficient fixtures at Harl Realty(common areas)  508-654-1710.,8/19/15 9:17,2/19/16 0:00,145151.0
80796,1903096000.0,Electrical,Replace lighting with energy efficient fixtures at Harl Realty dba Bob's Pita Bakery Droubi  617-325-1585.,8/19/15 9:17,2/19/16 0:00,145150.0
80798,2000042000.0,Electrical,Replace lighting with energy efficient fixtures at BK Pub  617-323-9191.,8/19/15 9:17,2/19/16 0:00,145163.0
80808,401862000.0,Electrical,Provide wiring for one environmental room,8/4/15 14:22,2/4/16 0:00,22096.0
80810,1300039000.0,Electrical,Install 20 solar panel 300watts each LG300  replace the electrical panel to 100amps only.,8/4/15 15:29,2/4/16 0:00,75541.0
80812,1401266000.0,Electrical,Install 14 solar panels 300watts each,8/4/15 15:29,2/4/16 0:00,65926.0
80814,1804565000.0,Solar Panels,installing electrical feed from rooftop solar panels to basement inverter/disconnect  production meter  exterior A/C disconnect  then to a line side tap inside new meter socket.,11/9/10 9:58,5/9/11 0:00,145181.0
80853,1808517038.0,Solar Panels,Installation of roof mounted photovoltaic solar system  3.38kw  13 panels,8/6/15 11:52,2/6/16 0:00,13439.0
